date,date.0,date.1,date.2,date.3,date.4,date.5,OT,OT.1,OT.2
866,31.80264,31.80636,35.16454,1952.36532,-0.56143,47.91285,9.194336359861143,3.425132211597502,0.0
867,31.82017,31.82921,35.13616,1947.37183,-0.55042,47.93157,9.183944651720724,3.421261026892898,0.0
868,31.83765,31.85201,35.1084,1942.38168,-0.54003,47.95028,9.172678509475451,3.417064092476492,0.0
869,31.85507,31.87476,35.08123,1937.39549,-0.53028,47.96896,9.160591596561073,3.4125613993900674,0.0
870,31.87245,31.89747,35.0546,1932.41388,-0.52121,47.98763,9.147739640547478,3.4077737076196883,0.0
871,31.88977,31.92013,35.02848,1927.43744,-0.51287,48.00628,9.134180186065974,3.4027224540546093,0.0
872,31.90705,31.94274,35.00283,1922.46673,-0.50529,48.02491,9.119972346357956,3.3974296599326106,0.0
873,31.92427,31.9653,34.9776,1917.5023,-0.49849,48.04353,9.105176554999185,3.3919178383507678,0.0
874,31.94145,31.98781,34.95276,1912.54467,-0.4925,48.06213,9.089854319236544,3.3862099023768986,0.0
875,31.95857,32.01028,34.92827,1907.59432,-0.48736,48.08072,9.074067976361803,3.3803290742923786,0.0
876,31.97564,32.0327,34.90407,1902.6517,-0.48308,48.09928,9.057880454328895,3.3742987964157827,0.0
877,31.99266,32.05508,34.88013,1897.71725,-0.47969,48.11783,9.041355037835524,3.3681426439621243,0.0
878,32.00963,32.0774,34.85639,1892.79137,-0.4772,48.13636,9.024555140887305,3.36188424031702,0.0
879,32.02656,32.09968,34.83282,1887.87443,-0.47562,48.15488,9.00754408677472,3.355547175072312,0.0
880,32.04343,32.12191,34.80936,1882.96675,-0.47498,48.17338,8.990384896268894,3.349154925123417,0.0
881,32.06025,32.1441,34.78598,1878.06864,-0.47527,48.19186,8.973140084743187,3.342730779091792,0.0
882,32.07702,32.16623,34.76261,1873.18038,-0.47652,48.21033,8.955871468746484,3.336297765268388,0.0
883,32.09374,32.18832,34.73923,1868.30219,-0.47871,48.22878,8.938639982517474,3.3298785832603914,0.0
884,32.11042,32.21037,34.71577,1863.43429,-0.48185,48.24722,8.921505504727929,3.323495539448542,0.0
885,32.12704,32.23236,34.6922,1858.57684,-0.48594,48.26563,8.904526695731043,3.3171704863578517,0.0
886,32.14361,32.25431,34.66846,1853.72999,-0.49098,48.28404,8.887760845383752,3.310924765967413,0.0
887,32.16014,32.27621,34.64453,1848.89383,-0.49696,48.30242,8.871263731508776,3.3047791569837943,0.0
888,32.17662,32.29807,34.62034,1844.06844,-0.50386,48.32079,8.855089488914372,3.2987538260474443,0.0
889,32.19304,32.31988,34.59586,1839.25386,-0.51169,48.33915,8.839290488844547,3.2928682828247235,0.0
890,32.20942,32.34164,34.57105,1834.4501,-0.52041,48.35749,8.823917228632085,3.2871413389007613,0.0
891,32.22575,32.36335,34.54586,1829.65713,-0.53002,48.37581,8.809018231296541,3.281591070377058,0.0
892,32.24203,32.38502,34.52026,1824.8749,-0.54049,48.39412,8.794639954760816,3.276234784052277,0.0
893,32.25826,32.40664,34.49421,1820.10332,-0.55181,48.41241,8.780826710288833,3.2710889870381274,0.0
894,32.27445,32.42821,34.46766,1815.34228,-0.56394,48.43069,8.767620589787265,3.2661693596773502,0.0
895,32.29059,32.44974,34.44059,1810.59162,-0.57687,48.44895,8.755061401495235,3.261490731586437,0.0
896,32.30667,32.47123,34.41296,1805.85118,-0.59057,48.4672,8.743186613622258,3.25706706065928,0.0
